用户id,用户名,评论时间,IP地址,评论内容,点赞数量,aweme_id,scores,segmented
1555144804936746,果汁分你一半,2025.10.11,湖北,[爱心][爱心][爱心][666][666][666],0,7559867871112596762,0.9911851341622918,[ 爱心 ] [ 爱心 ] [ 爱心 ] [ 666 ] [ 666 ] [ 666 ]
77545379195,玖贰,2025.10.11,浙江,孤独和干啥,0,7559867871112596762,0.9256082136879179,孤独 干
109091364799,浅,2025.10.11,浙江,[666][666][666],0,7559867871112596762,0.44767845850986676,[ 666 ] [ 666 ] [ 666 ]
4258847180721706,不要打我吗,2025.10.11,浙江,[666][666][666][666][666][666][666][666][666][666][666],0,7559867871112596762,0.25917217081084476,[ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ]
1197841813615504,^柔月^.,2025.10.11,江苏,[666][666][666][666][666][666][666][666][打脸][震惊][小鼓掌][泣不成声][震惊][送心],0,7559867871112596762,0.14887736984222022,[ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 打脸 ] [ 震惊 ] [ 小 鼓掌 ] [ 泣不成声 ] [ 震惊 ] [ 送心 ]
1889421198103370,醉梦人生,2025.10.11,福建,[666][666][666][666][666][666][666],0,7559867871112596762,0.3474730362549653,[ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 666 ]
1366048992673428,卖早餐的青姨,2025.10.11,广东,[666][666][666],0,7559867871112596762,0.44767845850986676,[ 666 ] [ 666 ] [ 666 ]
3930135046662313,大斗牛排平洲玉器街夜市,2025.10.11,广东,[666][666][666],0,7559867871112596762,0.44767845850986676,[ 666 ] [ 666 ] [ 666 ]
2744858501451933,用户4869869434999,2025.10.11,广东,666,0,7559867871112596762,0.5,666
1794858547677677,英英,2025.10.11,广东,[666][666][666][666][衰][666],0,7559867871112596762,0.5419038157310074,[ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 衰 ] [ 666 ]
104232409992,毛毛雨,2025.10.11,河南,[666][666],0,7559867871112596762,0.4737672181921908,[ 666 ] [ 666 ]
